element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,5,,13.8051,,4.69e+09,B,82078.6,806446.4,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,1,,T5633LS,
O,5,,13.8051,,8.44e+09,B,82078.6,806448.4,1s2.2s.2p,3P*,1,1s2.2s.5d,3D,2,,T5633LS,
O,5,13.8109,13.8109,80*,1.12e+10,B,82385.3,806451.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,3,,T5633LS,L552
O,5,13.8109,13.8110,80*,3.12e+08,C,82385.3,806446.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,1,,T5633LS,L552
O,5,13.8109,13.8110,80*,2.81e+09,B,82385.3,806448.4,1s2.2s.2p,3P*,2,1s2.2s.5d,3D,2,,T5633LS,L552
O,5,13.9029,13.9029,110,5.13e+09,B,0.0,719274.9,1s2.2s2,1S,0,1s2.2p.(2P*<3/2>).3d,1P*,1,,"T5633,T3843",L552
O,5,,14.0031,,3.66e+08,C,81942.5,796071.0,1s2.2s.2p,3P*,0,1s2.2s.5s,3S,1,,T5633LS,
O,5,,14.0058,,1.10e+09,C+,82078.6,796071.0,1s2.2s.2p,3P*,1,1s2.2s.5s,3S,1,,T5633LS,
O,5,,14.0118,,1.83e+09,C+,82385.3,796071.0,1s2.2s.2p,3P*,2,1s2.2s.5s,3S,1,,T5633LS,
O,5,,14.2122,,2.64e+09,B,158797.7,862419.0,1s2.2s.2p,1P*,1,1s2.2s.7d,1D,2,,T5633,
O,5,,14.4809,,1.08e+10,B,213618.2,904183.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).5d,3D*,2,,T5633LS,
O,5,,14.4809,,7.97e+09,B,213462.5,904027.0,1s2.2p2,3P,0,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,
O,5,,14.4837,,1.43e+10,B,213887.0,904318.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,3,,T5633LS,
O,5,,14.4842,,5.97e+09,B,213618.2,904027.0,1s2.2p2,3P,1,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,
